repo,stars,new-stars-last-30d,new-stars-last-14d,new-stars-last-7d,new-stars-last-24H,stars-per-mille-30d,days-last-star,days-last-commit,days-since-creation,mentionable-users,language,archived,dependencies,main-category,sub-category
webtorrent/webtorrent,28442,117,40,17,2,4.114,0,1,3681,175,JavaScript,false,76,### Mad science,Mad science
mafintosh/peerflix,6111,17,8,3,0,2.782,3,1081,3895,60,JavaScript,false,18,### Mad science,Mad science
ipfs/js-ipfs,7446,4,3,1,1,0.537,0,171,3454,241,JavaScript,true,2,### Mad science,Mad science
mafintosh/peerwiki,309,0,0,0,0,0.000,34,2102,3358,2,JavaScript,false,14,### Mad science,Mad science
mafintosh/peercast,509,0,0,0,0,0.000,56,3328,3328,3,JavaScript,false,6,### Mad science,Mad science
bitcoinjs/bitcoinjs-lib,5182,47,21,8,0,9.070,1,15,4575,93,TypeScript,false,0,### Mad science,Mad science
bitpay/bitcore,4659,18,8,5,1,3.863,0,2,3617,146,JavaScript,false,12,### Mad science,Mad science
foliojs/pdfkit,9062,49,19,10,3,5.407,0,2,4507,83,JavaScript,false,27,### Mad science,Mad science
Turfjs/turf,8433,64,31,18,2,7.589,0,2,3692,151,JavaScript,false,30,### Mad science,Mad science
mafintosh/webcat,437,0,0,0,0,0.000,41,3047,3132,2,JavaScript,false,11,### Mad science,Mad science
NodeOS/NodeOS,6870,12,7,4,2,1.747,0,1873,3766,34,Shell,false,0,### Mad science,Mad science
yodaos-project/yodaos,1176,6,3,1,0,5.102,4,1440,1796,7,C,false,0,### Mad science,Mad science
BrainJS/brain.js,14010,61,25,11,2,4.354,0,202,2829,99,TypeScript,false,0,### Mad science,Mad science
alibaba/pipcook,2471,7,3,0,0,2.833,11,74,1439,42,TypeScript,false,0,### Mad science,Mad science
cytoscape/cytoscape.js,9423,51,24,15,0,5.412,1,2,4464,135,JavaScript,false,29,### Mad science,Mad science
creationix/js-git,3820,2,1,1,0,0.524,3,1596,3879,25,JavaScript,false,4,### Mad science,Mad science
SheetJS/sheetjs,33806,164,85,42,7,4.851,0,305,3996,181,JavaScript,false,24,### Mad science,Mad science
isomorphic-git/isomorphic-git,7093,52,23,12,3,7.331,0,4,2297,79,JavaScript,false,80,### Mad science,Mad science
sindresorhus/np,7243,15,11,6,0,2.071,1,5,3011,88,JavaScript,false,50,### Command-line apps,Command-line apps
sindresorhus/npm-name,164,2,2,0,0,12.195,10,29,3500,16,JavaScript,false,15,### Command-line apps,Command-line apps
sindresorhus/gh-home,190,1,0,0,0,5.263,18,759,2861,3,JavaScript,false,8,### Command-line apps,Command-line apps
sindresorhus/npm-home,191,1,1,0,0,5.236,8,72,2861,6,JavaScript,false,11,### Command-line apps,Command-line apps
sindresorhus/trash,2521,7,4,2,1,2.777,0,23,3469,24,JavaScript,false,13,### Command-line apps,Command-line apps
sindresorhus/speed-test,3885,7,5,3,2,1.802,0,709,3013,8,JavaScript,false,11,### Command-line apps,Command-line apps
sindresorhus/pageres,9582,11,8,6,0,1.148,1,7,3565,31,TypeScript,false,0,### Command-line apps,Command-line apps
sindresorhus/cpy,416,1,1,1,0,2.404,3,8,3424,29,JavaScript,false,12,### Command-line apps,Command-line apps
MrRio/vtop,4065,11,4,4,2,2.706,0,1894,3454,28,JavaScript,false,9,### Command-line apps,Command-line apps
sindresorhus/empty-trash,131,0,0,0,0,0.000,101,760,3332,6,JavaScript,false,8,### Command-line apps,Command-line apps
sindresorhus/is-up,385,0,0,0,0,0.000,70,785,3368,7,JavaScript,false,4,### Command-line apps,Command-line apps
sindresorhus/is-online,1187,5,2,0,0,4.212,11,145,3341,13,JavaScript,false,7,### Command-line apps,Command-line apps
sindresorhus/public-ip,983,5,3,1,0,5.086,3,95,3346,14,JavaScript,false,9,### Command-line apps,Command-line apps
sindresorhus/clipboard-cli,484,3,1,0,0,6.198,9,21,2534,3,JavaScript,false,6,### Command-line apps,Command-line apps
